ProbeSet	log2(FC)	p-value
206987_x_at	  0.3623	7.21e-02
206989_s_at	  0.0260	9.13e-01
206990_at	  0.2729	1.14e-01
206992_s_at	  0.2288	4.66e-02
206993_at	 -0.2336	1.93e-01
206995_x_at	  0.0356	7.44e-01
206996_x_at	  0.1037	3.12e-01
206997_s_at	  0.5830	2.25e-02
206998_x_at	  0.0232	8.73e-01
206999_at	  0.1783	6.27e-02
207001_x_at	  0.1876	2.19e-01
207003_at	  0.4205	3.60e-02
207004_at	 -0.0816	4.75e-01
207005_s_at	  0.4930	7.17e-02
207010_at	  0.0198	9.22e-01
207011_s_at	  0.1508	1.20e-01
207013_s_at	  0.3720	1.54e-01
207017_at	 -0.0287	8.57e-01
207019_s_at	  0.0630	6.07e-01
207021_at	  0.1917	7.83e-02
207024_at	  0.4271	9.51e-02
207025_at	  0.4156	4.99e-02
207028_at	  0.3652	7.10e-02
207029_at	 -0.0725	5.50e-01
207031_at	  0.1658	9.40e-02
207032_s_at	  0.3928	1.18e-01
207033_at	  0.2847	1.29e-01
207034_s_at	  0.0963	2.68e-01
207035_at	 -0.0091	9.44e-01
207036_x_at	 -0.0237	7.02e-01
207037_at	  0.1116	5.75e-01
207038_at	  0.1983	6.42e-02
207039_at	  0.0184	9.18e-01
207040_s_at	  0.7637	4.16e-02
207041_at	 -0.0131	9.16e-01
207043_s_at	  0.0098	9.27e-01
207045_at	  0.4293	4.17e-02
207046_at	  0.0878	2.52e-01
207050_at	  0.0989	5.44e-01
207051_at	  0.0032	9.86e-01
207052_at	  0.0607	6.54e-01
207055_at	  0.4014	1.30e-01
207058_s_at	  0.1696	9.58e-02
207060_at	  0.2116	1.16e-01
207061_at	 -0.0052	9.67e-01
207065_at	 -0.2627	2.90e-01
207066_at	 -0.0257	8.37e-01
207070_at	  0.3988	1.20e-01
207072_at	  0.2994	1.36e-01
207075_at	  0.0662	5.50e-01
207076_s_at	  0.2998	1.57e-01
207079_s_at	  0.1173	4.71e-01
207080_s_at	  0.7545	6.50e-02
207082_at	  0.0025	9.41e-01
207083_s_at	 -0.1048	1.96e-01
207084_at	  0.5275	6.95e-03
207085_x_at	  0.3053	1.00e-01
207088_s_at	 -0.0614	5.34e-01
207089_at	  0.2227	1.25e-01
207094_at	  0.3310	7.29e-02
207096_at	  0.3329	8.57e-02
207100_s_at	  0.1320	2.96e-01
207102_at	 -0.0145	8.95e-01
207105_s_at	  0.4652	2.30e-03
207108_s_at	  0.1016	8.31e-02
207110_at	  0.3161	1.65e-01
207111_at	  0.3798	1.06e-01
207112_s_at	  0.0928	3.32e-01
207114_at	  0.1592	3.01e-01
207116_s_at	  0.1445	5.37e-01
207118_s_at	  0.0468	6.09e-01
207121_s_at	 -0.5065	6.92e-04
207122_x_at	  0.1509	7.49e-03
207123_s_at	  0.2590	7.04e-02
207124_s_at	  0.3205	1.54e-01
207127_s_at	 -0.9234	1.03e-03
207130_at	 -0.0683	3.62e-01
207131_x_at	  0.1221	1.62e-01
207133_x_at	 -0.0241	6.69e-01
207137_at	  0.2279	6.26e-02
207139_at	  0.3223	1.33e-01
207141_s_at	  0.0493	8.10e-01
207144_s_at	  0.0032	9.84e-01
207146_at	  0.3593	8.24e-02
207147_at	 -0.2466	9.91e-02
207149_at	  0.2467	8.26e-02
207151_at	 -0.0924	3.96e-01
207153_s_at	 -0.0737	3.69e-01
207154_at	  0.1816	1.14e-01
207159_x_at	  0.3352	7.69e-02
207160_at	  0.1870	1.48e-01
207162_s_at	  0.1184	3.26e-01
207167_at	  0.2940	1.05e-01
207169_x_at	  0.0670	1.66e-01
207170_s_at	  0.5571	4.22e-02
207173_x_at	  0.0457	3.31e-01
207174_at	  0.0717	3.33e-01
207177_at	 -0.0549	6.04e-01
207179_at	  0.1240	5.43e-01
207180_s_at	  0.6182	8.19e-03
207182_at	  0.3997	2.69e-02
207185_at	  0.4574	1.53e-01
207187_at	  0.3778	9.84e-02
207188_at	  0.4879	4.65e-02
207193_at	  0.0934	1.21e-01
207196_s_at	 -0.2628	4.78e-02
207197_at	  0.4597	9.55e-02
207199_at	  0.2831	1.34e-01
207200_at	  0.1132	3.25e-01
207201_s_at	  0.3741	9.74e-02
207203_s_at	  0.3382	1.54e-01
207204_at	  0.0357	7.41e-01
207205_at	  0.2174	9.14e-02
207206_s_at	  0.2987	1.42e-01
207208_at	  0.4781	1.11e-01
207211_at	  0.2814	1.93e-01
207215_at	  0.3663	3.70e-02
207217_s_at	  0.0845	3.22e-01
207220_at	  0.2070	2.60e-01
207221_at	  0.4757	9.10e-03
207222_at	  0.4580	1.31e-01
207223_s_at	 -0.2571	2.42e-02
207226_at	  0.0519	5.79e-01
207227_x_at	  0.2427	1.27e-01
207230_at	 -0.0507	6.11e-01
207232_s_at	  0.5492	2.06e-03
207233_s_at	  0.0831	4.13e-01
207234_at	  0.1239	3.49e-02
207239_s_at	 -0.1685	1.11e-01
207240_s_at	 -0.0001	9.99e-01
207241_at	  0.0286	8.67e-01
207242_s_at	  0.1596	2.05e-01
207243_s_at	 -0.5678	2.36e-02
207246_at	  0.1711	2.50e-01
207249_s_at	  0.1923	1.80e-01
207250_at	  0.1443	5.03e-01
207254_at	  0.3561	7.35e-02
207256_at	  0.1388	3.86e-02
207257_at	  0.0259	7.03e-01
207258_at	  0.2580	7.35e-02
207259_at	 -0.3050	4.17e-02
207262_at	  0.1353	1.76e-01
207265_s_at	 -0.0905	1.55e-01
207266_x_at	  0.3367	1.15e-01
207268_x_at	 -0.0003	9.96e-01
207272_at	 -0.0848	4.50e-01
207274_at	  0.2841	7.60e-02
207276_at	  0.0092	8.82e-01
207280_at	  0.1510	2.51e-01
207283_at	 -0.2943	6.50e-02
207284_s_at	 -0.0502	6.85e-01
207285_x_at	  0.0844	5.55e-01
207286_at	 -0.1126	3.70e-01
207287_at	  0.2643	9.90e-02
207291_at	  0.2493	8.60e-02
207292_s_at	  0.3093	8.95e-02
207293_s_at	 -0.0504	5.86e-01
207294_at	  0.0466	1.14e-01
207298_at	  0.2281	1.28e-01
207304_at	  0.3387	8.62e-02
207306_at	  0.2783	5.66e-02
207309_at	  0.1614	2.18e-01
207310_s_at	  0.1329	7.14e-02
207311_at	  0.2097	1.31e-01
207314_x_at	  0.1667	3.20e-01
207317_s_at	  0.3281	5.41e-02
207319_s_at	  0.0679	6.02e-01
207320_x_at	 -0.0276	8.23e-01
207321_s_at	  0.2130	9.46e-02
207322_at	  0.2854	1.30e-02
207324_s_at	  0.4305	8.24e-02
207327_at	  0.3481	1.16e-01
207329_at	  0.3097	7.52e-02
207331_at	 -0.0368	7.10e-01
207332_s_at	  0.1774	8.22e-02
207333_at	  0.1566	3.73e-01
207334_s_at	  0.2440	1.19e-01
207336_at	 -0.2361	1.10e-01
207338_s_at	  0.1973	5.93e-02
207339_s_at	  0.1262	2.31e-01
207341_at	  0.5130	6.24e-02
207342_at	  0.3089	1.03e-01
207346_at	  0.0870	3.71e-01
207349_s_at	  0.3465	4.83e-02
207352_s_at	  0.2417	2.48e-01
207353_s_at	  0.4158	3.37e-02
207354_at	  0.3657	9.75e-02
207360_s_at	  0.1074	5.23e-01
207364_at	 -0.0485	7.39e-01
207365_x_at	  0.2051	2.09e-01
207366_at	  0.4282	6.19e-02
207374_at	  0.1330	3.13e-01
207375_s_at	  0.2416	1.84e-02
207376_at	  0.1518	2.16e-01
207378_at	  0.3555	8.31e-02
207380_x_at	  0.2639	1.16e-01
207381_at	  0.1303	3.32e-01
207382_at	  0.3067	6.97e-02
207383_s_at	  0.4927	1.35e-02
207385_at	  0.4092	9.51e-02
207387_s_at	  0.0295	6.97e-01
207388_s_at	  0.2445	4.13e-02
207390_s_at	 -0.2569	4.80e-02
207392_x_at	  0.1729	3.25e-01
207393_at	  0.2611	1.81e-01
207394_at	  0.4037	4.54e-02
207395_at	  0.2588	2.08e-01
207396_s_at	 -0.8710	4.02e-03
207400_at	  0.1983	1.34e-01
207402_at	 -0.0145	9.02e-01
207403_at	  0.0360	7.91e-01
207405_s_at	 -0.0592	7.16e-01
207407_x_at	  0.0854	3.97e-01
207408_at	  0.4251	6.62e-02
207413_s_at	 -0.0142	9.06e-01
207414_s_at	  1.2439	1.06e-02
207415_at	 -0.3116	2.12e-01
207418_s_at	  0.2791	6.56e-02
207419_s_at	 -1.1031	4.99e-03
207420_at	  0.3088	1.66e-01
207421_at	  0.4708	4.85e-02
207422_at	  0.3088	7.67e-02
207426_s_at	  0.3615	1.37e-01
207431_s_at	 -0.6633	1.85e-02
207432_at	  0.2963	5.48e-02
207437_at	  0.0717	3.85e-01
207440_at	 -0.1227	2.20e-01
207441_at	  0.2154	1.96e-01
207442_at	  0.2203	1.01e-02
207444_at	  0.1496	2.52e-01
207446_at	  0.5074	4.09e-02
207452_s_at	 -0.0798	3.08e-01
207453_s_at	  0.2190	3.18e-01
207454_at	  0.4233	1.34e-01
207455_at	  0.1438	2.33e-01
207458_at	  0.4018	2.52e-02
207461_at	  0.1288	1.34e-01
207462_at	 -0.0359	7.59e-01
207463_x_at	  0.2260	9.26e-02
207466_at	  0.1534	5.37e-01
207467_x_at	  0.9567	7.16e-03
207469_s_at	  0.5537	1.34e-01
207470_at	 -0.1456	6.85e-02
207472_at	  0.2770	1.31e-01
207477_at	  0.0951	3.75e-01
207483_s_at	  0.0818	7.74e-01
207484_s_at	  0.2423	6.31e-02
207487_at	  0.1969	1.09e-01
207488_at	  0.1097	9.84e-02
207489_at	  0.1088	5.60e-01
207491_at	  0.5847	6.33e-02
207495_at	 -0.1116	4.24e-01
207497_s_at	  0.0075	8.58e-01
207498_s_at	  0.1307	4.11e-01
207501_s_at	 -0.0082	9.17e-01
207503_at	  0.1492	2.06e-01
207504_at	  0.2145	2.25e-01
207505_at	  0.2514	1.06e-01
207507_s_at	 -0.3122	2.05e-02
207509_s_at	  0.2431	1.38e-01
207511_s_at	  0.3207	9.89e-04
207513_s_at	  0.2075	7.32e-02
207514_s_at	  0.4637	1.38e-02
207515_s_at	 -0.5919	5.35e-03
207518_at	  0.0119	9.05e-01
207522_s_at	 -1.6161	4.99e-03
207527_at	  0.2279	3.26e-01
207529_at	  0.5171	8.64e-02
207536_s_at	  0.1548	2.05e-01
207541_s_at	  0.3682	3.47e-01
207542_s_at	  2.4239	6.95e-04
207544_s_at	  0.0065	9.54e-01
207545_s_at	 -0.0632	5.30e-01
207546_at	  0.5192	4.27e-02
207549_x_at	  0.0386	6.76e-01
207553_at	  0.1322	2.08e-01
207556_s_at	 -0.6536	4.37e-03
207558_s_at	  0.1070	4.07e-01
207559_s_at	  0.3586	2.85e-02
207561_s_at	  0.3247	1.15e-01
207564_x_at	  0.0919	6.56e-01
207566_at	  0.0026	9.58e-01
207567_at	  0.3315	9.49e-02
207569_at	  0.1855	5.06e-02
207571_x_at	  0.8265	9.02e-03
207573_x_at	  0.0204	7.17e-01
207574_s_at	  0.1641	2.87e-01
207580_at	  0.3304	6.13e-02
207581_s_at	  0.1082	2.83e-01
207583_at	  0.0533	5.31e-01
207584_at	  0.1833	1.23e-01
207587_at	  0.4734	5.80e-02
207589_at	  0.1147	7.43e-02
207590_s_at	  0.1234	3.32e-01
207591_s_at	  0.2860	8.04e-02
207593_at	  0.2969	9.98e-02
207594_s_at	 -0.2347	3.19e-01
207596_at	  0.2650	1.27e-01
207597_at	  0.3334	1.17e-01
207599_at	  0.3192	1.33e-01
207602_at	  0.1395	2.21e-01
207605_x_at	  0.7286	4.07e-03
207606_s_at	  0.6682	2.26e-02
207609_s_at	  0.3187	9.46e-02
207610_s_at	 -0.2825	1.25e-01
207611_at	  0.4393	1.21e-01
207614_s_at	 -0.3614	1.45e-01
207615_s_at	  0.4324	4.71e-02
207617_at	  0.1200	2.59e-01
207619_at	  0.0097	9.49e-01
207623_at	  0.3175	4.44e-02
207625_s_at	  0.3370	6.70e-02
207626_s_at	 -0.1017	4.72e-01
207627_s_at	 -0.1544	2.25e-01
207628_s_at	 -1.0028	6.43e-03
207629_s_at	  0.0835	5.62e-01
207630_s_at	 -0.6634	3.26e-02
207632_at	  0.0435	7.32e-01
207633_s_at	  0.0463	7.40e-01
207635_s_at	  0.1793	1.06e-01
207636_at	  0.5506	7.17e-02
207637_at	  0.2947	8.47e-02
207638_at	  0.1207	9.71e-02
207640_x_at	 -0.1878	3.92e-01
207644_at	  0.3005	1.45e-01
207645_s_at	  0.2271	1.18e-01
207647_at	 -0.1124	2.23e-01
207649_at	  0.1662	3.36e-01
207653_at	 -0.0844	4.46e-01
207654_x_at	 -0.1306	4.15e-01
207655_s_at	  0.4657	7.35e-02
207658_s_at	  0.2985	9.70e-02
207660_at	  0.0164	9.54e-01
207663_x_at	 -0.2515	8.76e-03
207664_at	  0.1240	1.52e-01
207665_at	  0.4004	1.82e-01
207666_x_at	  0.0886	7.60e-02
207667_s_at	  0.2922	9.98e-03
207668_x_at	 -0.7426	1.40e-03
207670_at	  0.1401	2.02e-01
207671_s_at	  0.2393	8.75e-02
207672_at	  0.1924	1.53e-01
207676_at	  0.4086	5.84e-02
207679_at	 -0.0474	6.87e-01
207680_x_at	  0.1956	3.66e-01
207684_at	  0.4032	5.16e-02
207685_at	  0.3723	1.04e-01
207686_s_at	  0.2964	1.02e-01
207694_at	  0.0862	2.71e-01
207695_s_at	  0.2449	9.03e-02
207696_at	  0.0027	9.80e-01
207700_s_at	 -0.1144	1.53e-01
207701_at	  0.0997	2.19e-01
207703_at	  0.1448	1.57e-01
207710_at	 -0.1958	1.01e-01
207717_s_at	  0.2748	2.07e-01
207718_x_at	 -0.0248	6.41e-01
207719_x_at	 -0.5091	6.90e-02
207721_x_at	  0.1794	1.14e-01
207722_s_at	  0.5503	5.32e-03
207723_s_at	  0.0472	5.20e-01
207724_s_at	  0.0345	7.51e-01
207726_at	  0.0116	9.19e-01
207730_x_at	  0.0439	6.13e-01
207731_at	  0.5204	4.07e-02
207732_s_at	  0.1239	1.43e-01
207733_x_at	  0.1065	1.92e-01
207734_at	  0.3973	5.08e-02
207735_at	  0.1305	4.96e-01
207739_s_at	 -0.1459	3.70e-01
207740_s_at	 -0.1158	1.25e-02
207741_x_at	  0.2785	7.81e-02
207743_at	  0.4164	6.14e-02
207747_s_at	  0.3822	1.27e-01
207748_at	  0.2065	2.24e-01
207750_at	 -0.0116	8.79e-01
207751_at	  0.1705	2.00e-01
207753_at	  0.0486	6.88e-01
207757_at	  0.2846	1.17e-01
207758_at	 -0.2081	1.41e-01
207760_s_at	  0.3869	4.27e-02
207761_s_at	  2.5325	6.92e-04
207762_at	  0.4209	5.92e-02
207773_x_at	  0.1828	1.99e-01
207774_at	 -0.1450	2.04e-01
207777_s_at	  0.0947	4.87e-01
207779_at	 -0.0994	5.48e-01
207780_at	 -0.0270	8.26e-01
207781_s_at	  0.0716	3.94e-01
207783_x_at	 -0.0333	6.70e-01
207784_at	  0.2293	1.96e-01
207785_s_at	 -0.0982	6.59e-01
207786_at	  0.0926	3.03e-01
207787_at	  0.2778	1.93e-01
207791_s_at	 -0.3223	1.90e-01
207792_at	  0.0944	3.40e-01
207793_s_at	 -0.1411	5.38e-01
207794_at	  0.2557	1.94e-01
207801_s_at	  0.3701	3.12e-02
207802_at	  0.1968	4.97e-02
207803_s_at	  0.2984	1.15e-01
207805_s_at	  0.7379	2.14e-02
207809_s_at	  0.3275	3.18e-02
207810_at	  0.3029	1.33e-01
207811_at	  0.1016	3.62e-01
207815_at	 -0.0914	3.13e-01
207816_at	  0.0719	5.14e-01
207821_s_at	  0.0961	1.85e-01
207822_at	  0.2737	3.17e-02
207823_s_at	  0.1205	1.65e-01
207824_s_at	 -0.3156	2.85e-02
207827_x_at	  0.0877	1.54e-01
207830_s_at	 -0.0141	9.29e-01
207831_x_at	 -0.0236	8.34e-01
207836_s_at	  0.3283	6.95e-02
207844_at	  0.2834	1.47e-01
207848_at	  0.0668	6.03e-01
207850_at	 -1.1797	4.07e-04
207851_s_at	  0.3436	2.05e-01
207853_s_at	  0.0550	5.03e-01
207859_s_at	  0.3329	1.81e-02
207861_at	  0.2512	1.29e-01
207862_at	  0.2722	2.18e-01
207864_at	  0.0095	7.62e-01
207868_at	  0.0181	8.27e-01
207870_at	 -0.1513	3.49e-01
207871_s_at	  0.2698	2.12e-01
207872_s_at	  0.0886	5.93e-01
207873_x_at	  0.2076	2.44e-01
207875_at	  0.1931	1.49e-01
207878_at	  0.0628	5.12e-01
207879_at	 -0.0709	5.05e-01
207880_at	  0.1945	4.26e-01
207882_at	  0.3514	1.28e-01
207883_s_at	  1.4431	3.58e-03
207884_at	  0.2467	2.16e-01
207885_at	  0.1081	5.72e-01
207886_s_at	  0.2168	8.60e-02
207889_at	  0.3089	6.26e-02
207890_s_at	  0.3691	8.45e-02
207892_at	  0.2675	1.19e-01
207896_s_at	 -0.0927	5.36e-01
207897_at	  0.1398	4.62e-01
207899_at	  0.0241	6.78e-01
207909_x_at	  0.1239	2.32e-01
207911_s_at	  0.0721	6.66e-01
207912_s_at	 -0.0699	3.47e-01
207916_at	  0.1334	3.85e-01
207920_x_at	  0.0357	4.91e-01
207921_x_at	  0.2875	1.56e-01
207922_s_at	  0.0883	6.33e-01
207923_x_at	  0.2787	4.87e-02
207925_at	  0.3028	1.57e-01
207926_at	  0.3017	4.78e-02
207927_at	  0.0889	3.81e-01
207932_at	  0.0912	2.23e-01
207937_x_at	  0.3953	6.17e-02
207939_x_at	 -0.4743	1.23e-02
207940_x_at	  0.4401	9.87e-02
207941_s_at	 -0.1378	6.38e-01
207951_at	  0.0713	5.51e-01
207954_at	  0.0525	6.34e-01
207955_at	 -0.0578	7.37e-01
207956_x_at	  0.4110	4.02e-02
207958_at	  0.0294	7.91e-01
207960_at	  0.4061	8.35e-02
207964_x_at	  0.2330	1.21e-01
207965_at	  0.0568	4.15e-01
207968_s_at	 -0.0548	6.46e-01
207972_at	  0.3602	1.58e-01
207974_s_at	 -0.0895	6.51e-01
207976_at	  0.0332	6.53e-01
207977_s_at	  0.1499	6.12e-02
207978_s_at	 -0.1060	5.43e-01
207981_s_at	  0.1323	3.67e-01
207982_at	  0.4879	3.76e-02
207984_s_at	  0.3451	9.51e-02
207986_x_at	 -0.1028	4.66e-01
207989_at	  0.1189	3.71e-01
207990_x_at	  0.3480	1.49e-01
207994_s_at	  0.0159	8.05e-01
207996_s_at	  0.2225	1.39e-01
207998_s_at	  0.2381	8.91e-02
208000_at	  0.2680	6.54e-02
208002_s_at	 -0.6457	6.70e-02
208004_at	  0.2851	1.46e-01
208005_at	  0.0715	6.08e-01
208006_at	  0.3059	1.31e-01
208007_at	  0.0261	8.94e-01
208008_at	  0.2072	7.64e-02
208009_s_at	  0.3229	1.01e-01
208010_s_at	 -0.0323	3.93e-01
208011_at	 -0.0051	8.99e-01
208013_s_at	  0.2572	1.99e-01
208014_x_at	 -0.0499	9.64e-02
208018_s_at	  0.3851	1.26e-01
208019_at	 -0.0090	7.95e-01
208025_s_at	  0.1078	2.28e-01
208026_at	  0.1456	2.86e-01
208027_s_at	  0.2912	4.22e-02
208030_s_at	  0.9721	1.87e-02
208031_s_at	  0.1180	1.55e-01
208032_s_at	  0.3934	9.80e-02
208033_s_at	  0.2353	2.65e-01
208034_s_at	  0.0115	9.38e-01
208035_at	  0.3446	9.54e-02
208036_at	  0.1051	4.47e-01
208039_at	 -0.0143	8.74e-01
208042_at	  0.1031	4.38e-02
208043_at	  0.4219	9.43e-02
208044_s_at	  0.0210	6.69e-01
208045_at	  0.1803	1.03e-01
208047_s_at	 -0.1257	2.42e-02
208048_at	  0.2722	1.18e-01
208049_s_at	 -0.0421	5.42e-01
208053_at	  0.4664	5.15e-02
208054_at	  0.1548	2.28e-01
208056_s_at	  0.0616	7.18e-01
208058_s_at	  0.2459	7.87e-02
208059_at	  0.5222	9.00e-02
208060_at	  0.4526	5.73e-02
208061_at	  0.1912	1.05e-01
208067_x_at	 -0.1603	1.41e-01
208068_x_at	  0.0030	9.74e-01
208069_x_at	  0.2053	2.68e-01
208070_s_at	  0.0413	6.55e-02
208071_s_at	  0.4472	1.23e-01
208072_s_at	 -0.2793	4.45e-02
208074_s_at	  0.1448	2.18e-01
208075_s_at	  0.3370	8.46e-02
208076_at	  0.2400	6.20e-02
208078_s_at	  0.0591	6.02e-01
208083_s_at	 -0.0433	7.74e-01
208088_s_at	  0.1283	4.02e-01
208089_s_at	  0.3500	8.03e-02
208091_s_at	 -0.0517	7.39e-01
208092_s_at	 -0.0522	5.12e-01
208093_s_at	  0.0884	5.00e-02
208096_s_at	  0.0188	8.47e-01
208097_s_at	 -0.2640	3.80e-01
208100_x_at	  0.2802	2.94e-02
208102_s_at	  0.2755	1.07e-01
208103_s_at	 -1.1733	1.09e-03
208106_x_at	  0.2039	2.13e-01
208108_s_at	  0.2634	1.55e-01
208111_at	  0.1253	2.93e-01
208116_s_at	 -0.1844	1.58e-01
208117_s_at	 -0.6599	1.56e-02
208119_s_at	  0.0273	8.59e-01
208121_s_at	  0.1138	4.98e-01
208122_x_at	  0.2749	1.51e-01
208123_at	  0.3564	6.78e-02
208124_s_at	  0.3914	6.21e-02
208126_s_at	  0.3287	1.49e-01
208130_s_at	  0.3971	1.00e-01
208131_s_at	  0.1820	1.38e-01
208136_s_at	  0.1161	2.54e-01
208137_x_at	  0.0751	5.42e-01
208138_at	 -0.0802	2.01e-01
208142_at	  0.0364	3.29e-01
208143_s_at	 -0.0802	2.30e-01
208147_s_at	  0.1084	4.20e-01
208151_x_at	  0.5225	6.50e-03
208152_s_at	 -2.0350	3.55e-05
208165_s_at	  0.1967	5.89e-02
208166_at	 -0.0184	6.22e-01
208167_s_at	  0.1473	2.86e-02
208170_s_at	  0.4057	1.40e-01
208178_x_at	  0.1011	2.28e-01
208180_s_at	 -0.0606	8.23e-01
208185_x_at	 -0.1033	3.03e-01
208186_s_at	  0.3831	8.54e-02
208187_s_at	  0.6616	7.23e-02
208188_at	  0.3025	1.34e-01
208192_at	  0.2227	1.53e-01
208194_s_at	  0.4541	1.75e-01
208195_at	  0.2767	1.24e-01
208200_at	 -0.2855	7.60e-02
208201_at	  0.1000	1.63e-01
208203_x_at	  0.0379	8.77e-01
208205_at	  0.2319	8.15e-02
208207_at	  0.3090	1.58e-02
208208_at	  0.2610	1.24e-01
208210_at	  0.3196	1.98e-01
208211_s_at	  0.0736	5.90e-01
208212_s_at	  0.5211	4.14e-02
208213_s_at	 -0.0055	9.36e-01
208214_at	  0.4216	1.11e-01
208215_x_at	 -0.1339	2.01e-01
208217_at	  0.2041	1.75e-01
208218_s_at	  0.4015	1.31e-02
208223_s_at	 -0.0488	2.47e-01
208224_at	  0.1819	1.06e-01
208226_x_at	  0.2758	1.64e-01
208227_x_at	  0.4464	1.28e-01
208231_at	  0.0914	3.14e-01
208233_at	  0.0238	8.58e-01
208235_x_at	 -0.0688	4.62e-01
208239_at	 -0.0269	5.51e-01
208241_at	  0.0674	6.56e-01
208244_at	  0.3843	6.15e-02
208246_x_at	 -0.1238	2.54e-01
208248_x_at	  0.0737	4.14e-01
208250_s_at	  0.1500	3.00e-01
208252_s_at	  0.2333	8.12e-02
208253_at	  0.0556	4.83e-01
208254_at	  0.2003	3.12e-01
208256_at	  0.2375	8.19e-02
208258_s_at	  0.4236	1.20e-01
208259_x_at	  0.0860	3.09e-01
208262_x_at	  0.0551	7.67e-01
208263_at	  0.1005	2.80e-01
208266_at	  0.2961	1.40e-01
208268_at	  0.0973	2.99e-01
208270_s_at	 -0.4158	5.03e-02
208272_at	  0.3318	3.91e-02
208274_at	  0.4236	1.11e-01
208275_x_at	  0.3640	9.21e-03
208277_at	  0.4595	3.54e-02
208280_at	  0.1374	2.02e-01
208285_at	  0.1593	4.84e-01
208286_x_at	  0.2683	9.82e-02
208291_s_at	  0.2072	2.28e-02
208293_x_at	  0.2507	5.17e-02
208294_x_at	  0.4760	5.23e-02
208297_s_at	  0.0789	2.45e-01
208299_at	  0.3080	7.07e-02
208301_at	  0.2407	9.03e-02
208303_s_at	  0.3378	1.52e-01
208308_s_at	 -0.5749	3.24e-03
208309_s_at	  0.2758	6.59e-02
208311_at	  0.6968	5.17e-02
208316_s_at	  0.1050	4.25e-01
208317_at	 -0.0352	6.96e-01
208319_s_at	 -0.1743	6.88e-01
208321_s_at	  0.3856	7.74e-02
208325_s_at	  0.1380	2.46e-01
208327_at	  0.3036	4.91e-02
208330_at	  0.1429	1.07e-01
208331_at	  0.0914	3.90e-01
208332_at	  0.2265	2.82e-01
208333_at	  0.2207	1.05e-01
208337_s_at	  0.2434	1.03e-02
208338_at	 -0.1477	2.94e-01
208339_at	 -0.0663	3.18e-01
208341_x_at	  0.3520	1.05e-01
208348_s_at	  0.0492	7.17e-01
208349_at	  0.1435	2.54e-01
208353_x_at	  1.2075	1.58e-03
208354_s_at	  0.1320	3.13e-01
208356_x_at	  0.1369	3.15e-01
208363_s_at	  0.1822	6.92e-02
208365_s_at	  0.1073	3.23e-01
208369_s_at	 -0.0795	5.73e-01
208370_s_at	  0.0606	7.49e-01
208371_s_at	  0.0193	7.80e-01
208374_s_at	 -0.3133	2.92e-01
208379_x_at	  0.2774	1.43e-01
208380_at	  0.2103	1.44e-01
208383_s_at	  0.4566	4.35e-02
208384_s_at	  0.2746	1.46e-01
208388_at	  0.0681	6.00e-01
208393_s_at	  0.2662	3.06e-01
208396_s_at	  0.2085	3.38e-01
208399_s_at	 -0.0543	6.45e-01
208403_x_at	 -0.0457	7.62e-01
208405_s_at	  0.0409	8.75e-01
208406_s_at	 -0.3230	1.34e-01
208410_x_at	  0.2023	2.44e-01
208416_s_at	  0.7822	2.98e-03
208421_at	  0.0562	6.41e-01
208422_at	  0.0679	3.82e-01
208423_s_at	  0.1396	2.24e-01
208424_s_at	 -0.3114	2.36e-01
208426_x_at	  0.1404	3.93e-01
208428_at	  0.3058	1.96e-01
208429_x_at	  0.3593	2.50e-01
208430_s_at	  0.1254	2.66e-01
208431_s_at	  0.4385	8.13e-02
208432_s_at	  0.4221	4.22e-02
208434_at	  0.1081	4.17e-01
208436_s_at	  0.1916	3.71e-03
208439_s_at	  0.3591	2.51e-02
208440_at	  0.0955	2.72e-01
208441_at	  0.2656	1.68e-01
208451_s_at	  0.2226	1.42e-01
208453_s_at	  0.0629	1.73e-02
208454_s_at	  1.3072	7.39e-03
208455_at	  0.2113	1.29e-01
208456_s_at	 -1.2254	4.13e-03
208458_at	  0.3968	5.77e-02
208460_at	  0.2344	1.14e-01
208465_at	  0.0684	7.65e-01
208466_at	  0.3369	1.59e-01
208468_at	  0.5546	7.94e-02
208471_at	  0.0407	5.47e-01
208477_at	  0.1679	3.06e-01
208478_s_at	  0.0725	2.04e-01
208479_at	  0.3017	1.53e-01
208480_s_at	  0.1502	4.16e-01
208483_x_at	  0.0400	4.95e-01
208485_x_at	 -0.4427	2.72e-03
208486_at	  0.6218	1.12e-01
208489_at	  0.2931	9.35e-02
208490_x_at	 -0.0935	5.75e-01
208492_at	 -0.0821	5.13e-01
208494_at	  0.3054	8.65e-02
208495_at	  0.2150	1.91e-01
208496_x_at	  0.1559	7.97e-02
208500_x_at	  0.0510	6.07e-01
208502_s_at	  1.9803	1.62e-03
208503_s_at	  0.3210	1.13e-01
208504_x_at	 -0.0138	8.89e-01
208505_s_at	  0.4554	1.09e-01
208506_at	  0.1212	1.13e-01
208507_at	  0.3003	6.92e-02
208508_s_at	 -0.0599	4.95e-01
208509_s_at	  0.1397	2.76e-01
208512_s_at	 -0.2524	2.03e-01
208513_at	  0.2174	9.77e-02
208519_x_at	  0.4024	1.07e-01
208521_at	  0.5795	7.44e-02
208522_s_at	  0.0863	5.37e-01
208523_x_at	 -0.1902	1.39e-01
208524_at	  0.1606	1.05e-01
208525_s_at	  0.1321	1.74e-02
